Jornada,Cum_Acc_A,Cum_Loss_A,Cum_Acc_B,Cum_Loss_B
1,0.375,1.1362188274901026,0.625,1.1767198986635417
2,0.5294117647058824,0.9044440185737949,0.7058823529411765,0.9170915309571406
3,0.56,0.839123824446647,0.68,0.8561533864865758
4,0.45714285714285713,0.9339556376291807,0.6285714285714286,0.9395708434470703
5,0.4318181818181818,0.9591359036887964,0.5909090909090909,0.9726469607880731
6,0.4716981132075472,0.9251589563876852,0.6415094339622641,0.9296146258558193
7,0.4838709677419355,0.936975940783023,0.6129032258064516,0.9376575726450324
8,0.4788732394366197,0.9149027915966481,0.6056338028169014,0.9193408870129066
9,0.475,0.9414358981545294,0.575,0.9517480764976061
10,0.47191011235955055,0.9660527949172062,0.5730337078651685,0.9582175030947229
11,0.46938775510204084,0.9669151342941879,0.5714285714285714,0.9541018619013557
12,0.4672897196261682,0.96415665669509,0.5607476635514018,0.9540041373089708
13,0.47413793103448276,0.9768177090523571,0.5431034482758621,0.9609666131739257
14,0.464,0.9829001266777139,0.544,0.9718135560826946
15,0.47761194029850745,0.9641561355314744,0.5447761194029851,0.9549665091166912
16,0.46853146853146854,0.9748126829081506,0.5314685314685315,0.9688508990430647
17,0.47368421052631576,0.967750330073294,0.5328947368421053,0.9624842647661901
18,0.4782608695652174,0.9540033176215229,0.5341614906832298,0.9513258387931747
19,0.4764705882352941,0.9563554869326922,0.5235294117647059,0.9524288524869347
20,0.47752808988764045,0.9610436917650695,0.5337078651685393,0.9570773064053928
21,0.46524064171123,0.9816191179438565,0.5187165775401069,0.9747691297593218
22,0.4642857142857143,0.9717728459227039,0.5153061224489796,0.9670421184832735
23,0.4634146341463415,0.9788434426993734,0.5121951219512195,0.9782529644506043
24,0.48598130841121495,0.9683059709244962,0.5186915887850467,0.971276594623033
25,0.484304932735426,0.9675873349926685,0.5201793721973094,0.9701868671646438
26,0.5,0.9531884635719454,0.5387931034482759,0.9551076958775822
27,0.5020746887966805,0.9561634865742789,0.5394190871369294,0.9561843447987182
28,0.496,0.9685390397304343,0.528,0.9709069445828029
29,0.5038461538461538,0.9681859404005151,0.5346153846153846,0.968056239222772
30,0.5092936802973977,0.9608229144465834,0.5427509293680297,0.9595145297255085
31,0.5,0.9627220431442808,0.5359712230215827,0.962362015345135
32,0.49825783972125437,0.9629300739829455,0.5365853658536586,0.963866088001028
33,0.5,0.959632498703846,0.5371621621621622,0.9610905375544779
34,0.49508196721311476,0.9628941347514038,0.5278688524590164,0.9649230028132076
