Time,Jogos,Vitorias,Empates,Derrotas,GolsFeitos,GolsSofridos,SaldoGols,Pontos,GolsEsperados,GolsSofridosEsperados,SaldoGolsEsperado
Sporting CP,34,25,7,2,88,27,61,82,72.2,23.4,48.8
Benfica,34,25,5,4,84,28,56,80,78.8,29.2,49.5
Porto,34,22,5,7,65,30,35,71,56.5,30.4,26.1
Braga,34,19,9,6,55,30,25,66,51.3,34.2,17.1
Santa Clara,34,17,6,11,36,32,4,57,42.6,32.9,9.7
Vitória,34,14,12,8,47,37,10,54,44.6,32.4,12.2
Famalicão,34,12,11,11,44,39,5,47,39.1,43.0,-3.9
Estoril,34,12,10,12,48,53,-5,46,41.3,58.2,-16.9
Casa Pia,34,12,9,13,39,44,-5,45,33.3,45.1,-11.8
Moreirense,34,10,10,14,42,50,-8,40,33.4,39.5,-6.1
Rio Ave,34,9,11,14,39,55,-16,38,38.9,54.4,-15.5
Arouca,34,9,11,14,35,49,-14,38,40.7,46.6,-6.0
Gil Vicente FC,34,8,10,16,34,47,-13,34,33.8,42.1,-8.3
Nacional,34,9,7,18,32,50,-18,34,37.8,48.2,-10.4
Estrela,34,7,8,19,24,50,-26,29,29.4,45.7,-16.3
AVS Futebol,34,5,12,17,25,60,-35,27,31.7,55.0,-23.3
Farense,34,6,9,19,25,46,-21,27,30.5,51.4,-20.9
Boavista,34,6,6,22,24,59,-35,24,32.1,56.2,-24.0
