Equipa,Golos,Assistências,Golos+Assistências,GolosEsperados,GolosEsperadosAssistidos,GolosEsperadosSemPenáltis,ConduçõesProgressivas,PassesProgressivos
Arouca,34,18,52,40.7,25.2,33.5,418,1184
AVS Futebol,25,17,42,31.7,22.0,27.7,388,877
Benfica,81,58,139,78.8,55.5,69.7,684,1874
Boavista,23,8,31,32.1,17.5,26.9,264,886
Braga,54,40,94,51.3,36.9,46.5,602,1510
Casa Pia,36,26,62,33.3,22.9,30.2,397,960
Estoril,47,28,75,41.3,27.3,34.9,403,1053
Estrela,23,16,39,29.4,18.8,26.3,354,875
Famalicão,43,29,72,39.1,24.9,34.4,437,1250
Farense,25,18,43,30.5,21.4,28.2,354,877
Gil Vicente FC,33,20,53,33.8,24.6,30.7,451,1100
Moreirense,41,28,69,33.4,21.9,29.5,416,936
Nacional,31,21,52,37.8,25.6,33.9,466,960
Porto,65,44,109,56.5,37.8,47.8,578,1644
Rio Ave,39,20,59,38.9,25.0,35.8,493,1051
Santa Clara,35,25,60,42.6,28.6,39.4,401,867
Sporting CP,86,56,142,72.2,50.1,62.6,797,1786
Vitória,43,27,70,44.6,31.3,42.2,504,1535
