Equipa,Golos,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,GolosEsperadosSemPenáltis
Arouca,34,390,119,30.5,40.7,33.5
AVS Futebol,25,341,87,25.5,31.7,27.7
Benfica,81,559,213,38.1,78.8,69.7
Boavista,23,345,102,29.6,32.1,26.9
Braga,54,459,155,33.8,51.3,46.5
Casa Pia,36,314,98,31.2,33.3,30.2
Estoril,47,328,112,34.1,41.3,34.9
Estrela,23,327,89,27.2,29.4,26.3
Famalicão,43,381,124,32.5,39.1,34.4
Farense,25,384,114,29.7,30.5,28.2
Gil Vicente FC,33,325,95,29.2,33.8,30.7
Moreirense,41,342,125,36.5,33.4,29.5
Nacional,31,451,129,28.6,37.8,33.9
Porto,65,474,170,35.9,56.5,47.8
Rio Ave,39,371,123,33.2,38.9,35.8
Santa Clara,35,378,124,32.8,42.6,39.4
Sporting CP,86,611,210,34.4,72.2,62.6
Vitória,43,444,141,31.8,44.6,42.2
