Equipa,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios
Arouca,552,297,376,849,852
AVS Futebol,565,303,390,868,929
Benfica,625,311,316,936,493
Boavista,565,313,336,878,843
Braga,571,280,333,851,795
Casa Pia,497,297,364,794,907
Estoril,530,324,331,854,901
Estrela,613,306,388,919,969
Famalicão,560,296,323,856,800
Farense,589,327,390,916,992
Gil Vicente FC,539,310,357,849,868
Moreirense,547,283,336,830,1015
Nacional,555,287,387,842,878
Porto,472,253,300,725,521
Rio Ave,597,312,359,909,959
Santa Clara,559,288,335,847,966
Sporting CP,545,252,318,797,556
Vitória,528,267,319,795,764
