Equipa,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos
Arouca,699,20.56,60,1.76
AVS Futebol,594,17.47,44,1.29
Benfica,989,29.09,140,4.12
Boavista,587,17.26,33,0.97
Braga,808,23.76,96,2.82
Casa Pia,557,16.38,63,1.85
Estoril,578,17.0,76,2.24
Estrela,539,15.85,41,1.21
Famalicão,685,20.15,74,2.18
Farense,641,18.85,43,1.26
Gil Vicente FC,578,17.0,54,1.59
Moreirense,622,18.29,67,1.97
Nacional,779,22.91,52,1.53
Porto,872,25.65,115,3.38
Rio Ave,646,19.0,60,1.76
Santa Clara,631,18.56,54,1.59
Sporting CP,1108,32.59,145,4.26
Vitória,778,22.88,74,2.18
