Equipa,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,GolosEsperadosAssistidos,PassesChave,PassesProgressivos
Arouca,79.0,228976,85117,18,25.2,262,1184
AVS Futebol,75.7,191661,76821,17,22.0,242,877
Benfica,82.1,278683,97148,58,55.5,425,1874
Boavista,71.3,163678,69336,8,17.5,229,886
Braga,81.1,279688,90896,40,36.9,346,1510
Casa Pia,75.5,193547,74313,26,22.9,221,960
Estoril,78.4,208632,80292,28,27.3,244,1053
Estrela,73.3,180030,72137,16,18.8,227,875
Famalicão,78.0,217884,81286,29,24.9,271,1250
Farense,70.1,170392,72021,18,21.4,264,877
Gil Vicente FC,80.6,244400,82726,20,24.6,246,1100
Moreirense,78.3,200798,74493,28,21.9,262,936
Nacional,74.6,194690,74456,21,25.6,333,960
Porto,84.0,289504,92682,44,37.8,363,1644
Rio Ave,78.4,214360,79707,20,25.0,261,1051
Santa Clara,73.5,177459,66893,25,28.6,261,867
Sporting CP,85.4,281706,93683,56,50.1,482,1786
Vitória,80.7,251517,93103,27,31.3,322,1535
