Equipa,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos
Arouca,-14,-0.41,-6.0,-0.18
AVS Futebol,-35,-1.03,-23.3,-0.68
Benfica,56,1.65,49.5,1.46
Boavista,-35,-1.03,-24.0,-0.71
Braga,25,0.74,17.1,0.5
Casa Pia,-5,-0.15,-11.8,-0.35
Estoril,-5,-0.15,-16.9,-0.5
Estrela,-26,-0.76,-16.3,-0.48
Famalicão,5,0.15,-3.9,-0.12
Farense,-21,-0.62,-20.9,-0.61
Gil Vicente FC,-13,-0.38,-8.3,-0.24
Moreirense,-8,-0.24,-6.1,-0.18
Nacional,-18,-0.53,-10.4,-0.31
Porto,35,1.03,26.1,0.77
Rio Ave,-16,-0.47,-15.5,-0.46
Santa Clara,4,0.12,9.7,0.28
Sporting CP,61,1.79,48.8,1.43
Vitória,10,0.29,12.2,0.36
